seed,T,k,avg_price,avg_profit,share_state_0.5_0.5,share_joint_consecutive_0.5,mode_pair,share_mode_pair,std_market,cycle_amp,jump_count_large,regime
242,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
243,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
244,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
245,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
246,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
247,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
248,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
249,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
250,500000,6,0.45831666666666665,0.09374694444444444,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.1502386980404479,0.5833333333333333,24999,cycling/asymmetric
251,500000,6,0.6666666666666665,0.11111111111111113,0.0,0.0,"(np.float64(0.666667), np.float64(0.666667))",1.0,1.1102230246251565e-16,0.0,0,focal_equal_price
252,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
253,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
254,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
255,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
256,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
257,500000,6,0.49999666666666664,0.09374722222222222,0.0,0.0,"(np.float64(1.0), np.float64(0.166667))",0.24998,0.18633974344967014,0.6666666666666666,25000,cycling/asymmetric
258,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
259,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
260,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
261,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.5), np.float64(1.0))",0.25,0.18633899812498247,0.5,25000,cycling/asymmetric
262,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
263,500000,6,0.1666733333333333,0.06944444444444442,0.0,0.0,"(np.float64(0.166667), np.float64(0.166667))",0.99996,0.0010540714713275692,0.16666666666666666,0,focal_equal_price
264,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.15023130314433286,0.41666666666666663,24999,cycling/asymmetric
265,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
266,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
267,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
268,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
269,500000,6,0.33331666666666665,0.1111013888888889,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99988,0.001971956163587596,0.3333333333333333,0,focal_equal_price
270,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
271,500000,6,0.49998,0.12499361111111111,0.99992,0.99992,"(np.float64(0.5), np.float64(0.5))",0.99992,0.0024719852570577986,0.4166666666666667,1,monopoly_regime
272,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
273,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
274,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
275,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
276,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
277,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
278,500000,6,0.49998,0.1249925,0.99994,0.99996,"(np.float64(0.5), np.float64(0.5))",0.99994,0.002738539756877742,0.5,4,monopoly_regime
279,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(1.0), np.float64(0.166667))",0.25,0.18633899812498247,0.5,24999,cycling/asymmetric
280,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
281,500000,6,0.5,0.12499472222222222,0.99992,0.99992,"(np.float64(0.5), np.float64(0.5))",0.99992,0.0016666666666666666,0.5,2,monopoly_regime
282,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
283,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
284,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
285,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
286,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
287,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
288,500000,6,0.33333666666666667,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99996,0.0005270357356637845,0.08333333333333331,0,focal_equal_price
289,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.666667), np.float64(0.166667))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
290,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
291,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
292,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
293,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.15023130314433286,0.41666666666666663,24999,cycling/asymmetric
294,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
295,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
296,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.5), np.float64(0.833333))",0.25,0.15023130314433286,0.41666666666666663,25000,cycling/asymmetric
297,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
298,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.15023130314433286,0.41666666666666663,24999,cycling/asymmetric
299,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.5), np.float64(0.666667))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
300,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
301,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.15023130314433286,0.41666666666666663,25000,cycling/asymmetric
302,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
303,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.833333), np.float64(0.166667))",0.25,0.15023130314433286,0.41666666666666663,24999,cycling/asymmetric
304,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
305,500000,6,0.47223166666666666,0.09259250000000001,0.0,0.0,"(np.float64(1.0), np.float64(0.166667))",0.16668,0.2239534988873558,0.6666666666666666,25000,cycling/asymmetric
